componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1513,226,BRC0015A,Nome não encontrado
Energia,kcal,356,53,BRC0015A,Nome não encontrado
Umidade,g,"11,6","1,74",BRC0015A,Nome não encontrado
Carboidrato total,g,"79,7","12,0",BRC0015A,Nome não encontrado
Carboidrato disponível,g,"79,7","12,0",BRC0015A,Nome não encontrado
Proteína,g,"6,90","1,04",BRC0015A,Nome não encontrado
Lipídios,g,"1,10","0,17",BRC0015A,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0015A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0015A,Nome não encontrado
Cinzas,g,"0,70","0,11",BRC0015A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0015A,Nome não encontrado
Ácidos graxos saturados,g,"0,36","0,05",BRC0015A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,27","0,04",BRC0015A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,05",BRC0015A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0015A,Nome não encontrado
Cálcio,mg,"6,76","1,01",BRC0015A,Nome não encontrado
Ferro,mg,"0,60","0,09",BRC0015A,Nome não encontrado
Sódio,mg,"0,98","0,15",BRC0015A,Nome não encontrado
Magnésio,mg,"48,2","7,23",BRC0015A,Nome não encontrado
Fósforo,mg,145,"21,9",BRC0015A,Nome não encontrado
Potássio,mg,109,"16,4",BRC0015A,Nome não encontrado
Manganês,mg,"1,18","0,18",BRC0015A,Nome não encontrado
Zinco,mg,"1,78","0,27",BRC0015A,Nome não encontrado
Cobre,mg,"0,04","0,01",BRC0015A,Nome não encontrado
Selênio,mcg,,,BRC0015A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0015A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0015A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0015A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,11","0,02",BRC0015A,Nome não encontrado
Tiamina,mg,"0,21","0,03",BRC0015A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0015A,Nome não encontrado
Niacina,mg,traços,traços,BRC0015A,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0015A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0015A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0015A,Nome não encontrado
Equivalente de folato,mcg,"4,01","0,60",BRC0015A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0015A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0015A,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0015A,Nome não encontrado
Proteína vegetal,g,"6,90","1,04",BRC0015A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0015A,Nome não encontrado
