componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,342,102,34,BRC0145B,Nome não encontrado
Energia,kcal,83,24,8,BRC0145B,Nome não encontrado
Umidade,g,"83,3","25,0","8,33",BRC0145B,Nome não encontrado
Carboidrato total,g,"7,07","2,12","0,71",BRC0145B,Nome não encontrado
Carboidrato disponível,g,"1,49","0,45","0,15",BRC0145B,Nome não encontrado
Proteína,g,"2,03","0,61","0,20",BRC0145B,Nome não encontrado
Lipídios,g,"6,41","1,92","0,64",BRC0145B,Nome não encontrado
Fibra alimentar,g,"5,59","1,68","0,56",BRC0145B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0145B,Nome não encontrado
Cinzas,g,"1,21","0,36","0,12",BRC0145B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0145B,Nome não encontrado
Ácidos graxos saturados,g,"0,97","0,29","0,10",BRC0145B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,56","0,47","0,16",BRC0145B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,50","1,05","0,35",BRC0145B,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0145B,Nome não encontrado
Cálcio,mg,160,"48,2","16,1",BRC0145B,Nome não encontrado
Ferro,mg,"0,45","0,14","0,05",BRC0145B,Nome não encontrado
Sódio,mg,138,"41,5","13,8",BRC0145B,Nome não encontrado
Magnésio,mg,"23,7","7,12","2,37",BRC0145B,Nome não encontrado
Fósforo,mg,"30,2","9,07","3,02",BRC0145B,Nome não encontrado
Potássio,mg,285,"85,5","28,5",BRC0145B,Nome não encontrado
Manganês,mg,"0,11","0,03","0,01",BRC0145B,Nome não encontrado
Zinco,mg,"0,18","0,05","0,02",BRC0145B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00",BRC0145B,Nome não encontrado
Selênio,mcg,"3,43","1,03","0,34",BRC0145B,Nome não encontrado
Vitamina A (RE),mcg,466,140,"46,7",BRC0145B,Nome não encontrado
Vitamina A (RAE),mcg,233,"70,0","23,3",BRC0145B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0145B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,50","0,45","0,15",BRC0145B,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0145B,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,00",BRC0145B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0145B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01",BRC0145B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0145B,Nome não encontrado
Vitamina C,mg,"71,3","21,4","7,13",BRC0145B,Nome não encontrado
Equivalente de folato,mcg,"63,7","19,1","6,37",BRC0145B,Nome não encontrado
Sal de adição,g,"0,32","0,10","0,03",BRC0145B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0145B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0145B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0145B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0145B,Nome não encontrado
