componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,543,325,BRC0619A,Nome não encontrado
Energia,kcal,136,81,BRC0619A,Nome não encontrado
Umidade,g,"75,0","45,0",BRC0619A,Nome não encontrado
Carboidrato total,g,"10,2","6,11",BRC0619A,Nome não encontrado
Carboidrato disponível,g,"9,45","5,67",BRC0619A,Nome não encontrado
Proteína,g,"5,03","3,02",BRC0619A,Nome não encontrado
Lipídios,g,"8,49","5,09",BRC0619A,Nome não encontrado
Fibra alimentar,g,"0,74","0,44",BRC0619A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0619A,Nome não encontrado
Cinzas,g,"1,27","0,76",BRC0619A,Nome não encontrado
Colesterol,mg,"51,0","30,6",BRC0619A,Nome não encontrado
Ácidos graxos saturados,g,"4,29","2,57",BRC0619A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,30","1,38",BRC0619A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,61",BRC0619A,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,10",BRC0619A,Nome não encontrado
Cálcio,mg,100,"60,2",BRC0619A,Nome não encontrado
Ferro,mg,"0,54","0,33",BRC0619A,Nome não encontrado
Sódio,mg,286,172,BRC0619A,Nome não encontrado
Magnésio,mg,"12,7","7,63",BRC0619A,Nome não encontrado
Fósforo,mg,"95,1","57,1",BRC0619A,Nome não encontrado
Potássio,mg,132,"79,5",BRC0619A,Nome não encontrado
Manganês,mg,"0,09","0,06",BRC0619A,Nome não encontrado
Zinco,mg,"0,54","0,32",BRC0619A,Nome não encontrado
Cobre,mg,"0,04","0,02",BRC0619A,Nome não encontrado
Selênio,mcg,"5,44","3,26",BRC0619A,Nome não encontrado
Vitamina A (RE),mcg,"86,5","51,9",BRC0619A,Nome não encontrado
Vitamina A (RAE),mcg,"83,9","50,3",BRC0619A,Nome não encontrado
Vitamina D,mcg,"0,89","0,53",BRC0619A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,36",BRC0619A,Nome não encontrado
Tiamina,mg,"0,05","0,03",BRC0619A,Nome não encontrado
Riboflavina,mg,"0,16","0,10",BRC0619A,Nome não encontrado
Niacina,mg,"0,89","0,53",BRC0619A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0619A,Nome não encontrado
Vitamina B12,mcg,"0,31","0,19",BRC0619A,Nome não encontrado
Vitamina C,mg,"2,05","1,23",BRC0619A,Nome não encontrado
Equivalente de folato,mcg,"13,3","7,96",BRC0619A,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0619A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0619A,Nome não encontrado
Gordura de adição,g,-,-,BRC0619A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0619A,Nome não encontrado
Proteína animal,g,-,-,BRC0619A,Nome não encontrado
