componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,457,365,205,BRC1035B,Nome não encontrado
Energia,kcal,109,87,49,BRC1035B,Nome não encontrado
Umidade,g,"77,8","62,2","35,0",BRC1035B,Nome não encontrado
Carboidrato total,g,"11,0","8,76","4,93",BRC1035B,Nome não encontrado
Carboidrato disponível,g,"9,55","7,64","4,30",BRC1035B,Nome não encontrado
Proteína,g,"4,71","3,77","2,12",BRC1035B,Nome não encontrado
Lipídios,g,"5,44","4,35","2,45",BRC1035B,Nome não encontrado
Fibra alimentar,g,"1,39","1,11","0,63",BRC1035B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1035B,Nome não encontrado
Cinzas,g,"1,11","0,89","0,50",BRC1035B,Nome não encontrado
Colesterol,mg,"6,20","4,96","2,79",BRC1035B,Nome não encontrado
Ácidos graxos saturados,g,"2,83","2,27","1,27",BRC1035B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,36","1,09","0,61",BRC1035B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,56","0,45","0,25",BRC1035B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,11","0,06",BRC1035B,Nome não encontrado
Cálcio,mg,125,100,"56,4",BRC1035B,Nome não encontrado
Ferro,mg,"0,34","0,27","0,15",BRC1035B,Nome não encontrado
Sódio,mg,160,128,"72,3",BRC1035B,Nome não encontrado
Magnésio,mg,"9,33","7,47","4,20",BRC1035B,Nome não encontrado
Fósforo,mg,108,"86,9","48,9",BRC1035B,Nome não encontrado
Potássio,mg,211,168,"95,1",BRC1035B,Nome não encontrado
Manganês,mg,"0,06","0,05","0,03",BRC1035B,Nome não encontrado
Zinco,mg,"0,66","0,52","0,30",BRC1035B,Nome não encontrado
Cobre,mg,"0,07","0,05","0,03",BRC1035B,Nome não encontrado
Selênio,mcg,"3,33","2,66","1,50",BRC1035B,Nome não encontrado
Vitamina A (RE),mcg,"16,4","13,1","7,40",BRC1035B,Nome não encontrado
Vitamina A (RAE),mcg,"15,6","12,4","7,00",BRC1035B,Nome não encontrado
Vitamina D,mcg,"0,07","0,06","0,03",BRC1035B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,07","0,04",BRC1035B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02",BRC1035B,Nome não encontrado
Riboflavina,mg,"0,08","0,07","0,04",BRC1035B,Nome não encontrado
Niacina,mg,"0,23","0,19","0,11",BRC1035B,Nome não encontrado
Vitamina B6,mg,"0,09","0,07","0,04",BRC1035B,Nome não encontrado
Vitamina B12,mcg,"0,19","0,15","0,09",BRC1035B,Nome não encontrado
Vitamina C,mg,"2,86","2,29","1,29",BRC1035B,Nome não encontrado
Equivalente de folato,mcg,"4,95","3,96","2,23",BRC1035B,Nome não encontrado
Sal de adição,g,,,,BRC1035B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1035B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1035B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1035B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1035B,Nome não encontrado
