componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,538,242,BRC0043E,Nome não encontrado
Energia,kcal,127,57,BRC0043E,Nome não encontrado
Umidade,g,"47,6","21,4",BRC0043E,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0043E,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0043E,Nome não encontrado
Proteína,g,"28,8","13,0",BRC0043E,Nome não encontrado
Lipídios,g,"1,32","0,59",BRC0043E,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0043E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0043E,Nome não encontrado
Cinzas,g,"22,3","10,0",BRC0043E,Nome não encontrado
Colesterol,mg,138,"62,5",BRC0043E,Nome não encontrado
Ácidos graxos saturados,g,"0,60","0,27",BRC0043E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,14",BRC0043E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,09",BRC0043E,Nome não encontrado
Ácidos graxos trans,g,traços,traços,BRC0043E,Nome não encontrado
Cálcio,mg,156,"70,6",BRC0043E,Nome não encontrado
Ferro,mg,"0,85","0,38",BRC0043E,Nome não encontrado
Sódio,mg,13585,6113,BRC0043E,Nome não encontrado
Magnésio,mg,"49,5","22,3",BRC0043E,Nome não encontrado
Fósforo,mg,186,"83,8",BRC0043E,Nome não encontrado
Potássio,mg,433,195,BRC0043E,Nome não encontrado
Manganês,mg,"0,03","0,01",BRC0043E,Nome não encontrado
Zinco,mg,"0,67","0,30",BRC0043E,Nome não encontrado
Cobre,mg,"0,09","0,04",BRC0043E,Nome não encontrado
Selênio,mcg,,,BRC0043E,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0043E,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0043E,Nome não encontrado
Vitamina D,mcg,"2,23","1,00",BRC0043E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,58","0,71",BRC0043E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0043E,Nome não encontrado
Riboflavina,mg,"0,21","0,09",BRC0043E,Nome não encontrado
Niacina,mg,"4,69","2,11",BRC0043E,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0043E,Nome não encontrado
Vitamina B12,mcg,"6,25","2,81",BRC0043E,Nome não encontrado
Vitamina C,mg,"2,19","0,98",BRC0043E,Nome não encontrado
Equivalente de folato,mcg,"15,6","7,03",BRC0043E,Nome não encontrado
Sal de adição,g,,,BRC0043E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0043E,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0043E,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0043E,Nome não encontrado
Proteína animal,g,"28,8","13,0",BRC0043E,Nome não encontrado
