componente,unidade,Valor por 100g,Colher sopa rasa (20 g),codigo_alimento,nome_alimento
Energia,kJ,1386,277,BRC0929B,Nome não encontrado
Energia,kcal,337,67,BRC0929B,Nome não encontrado
Umidade,g,"51,7","10,3",BRC0929B,Nome não encontrado
Carboidrato total,g,"12,5","2,51",BRC0929B,Nome não encontrado
Carboidrato disponível,g,"2,64","0,53",BRC0929B,Nome não encontrado
Proteína,g,"2,24","0,45",BRC0929B,Nome não encontrado
Lipídios,g,"33,1","6,61",BRC0929B,Nome não encontrado
Fibra alimentar,g,"9,90","1,98",BRC0929B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0929B,Nome não encontrado
Cinzas,g,"0,45","0,09",BRC0929B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0929B,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0929B,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0929B,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0929B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0929B,Nome não encontrado
Cálcio,mg,"28,5","5,70",BRC0929B,Nome não encontrado
Ferro,mg,"0,50","0,10",BRC0929B,Nome não encontrado
Sódio,mg,"1,44","0,29",BRC0929B,Nome não encontrado
Magnésio,mg,"32,0","6,40",BRC0929B,Nome não encontrado
Fósforo,mg,"29,2","5,84",BRC0929B,Nome não encontrado
Potássio,mg,139,"27,9",BRC0929B,Nome não encontrado
Manganês,mg,"0,50","0,10",BRC0929B,Nome não encontrado
Zinco,mg,"0,59","0,12",BRC0929B,Nome não encontrado
Cobre,mg,"0,36","0,07",BRC0929B,Nome não encontrado
Selênio,mcg,,,BRC0929B,Nome não encontrado
Vitamina A (RE),mcg,1028,205,BRC0929B,Nome não encontrado
Vitamina A (RAE),mcg,514,102,BRC0929B,Nome não encontrado
Vitamina D,mcg,,,BRC0929B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,02",BRC0929B,Nome não encontrado
Tiamina,mg,"0,14","0,03",BRC0929B,Nome não encontrado
Riboflavina,mg,"0,40","0,08",BRC0929B,Nome não encontrado
Niacina,mg,"2,14","0,43",BRC0929B,Nome não encontrado
Vitamina B6,mg,"0,05","0,01",BRC0929B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0929B,Nome não encontrado
Vitamina C,mg,"14,3","2,87",BRC0929B,Nome não encontrado
Equivalente de folato,mcg,"5,00","1,00",BRC0929B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0929B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0929B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0929B,Nome não encontrado
Proteína vegetal,g,"2,24","0,45",BRC0929B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0929B,Nome não encontrado
