componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,1473,1178,BRC1058B,Nome não encontrado
Energia,kcal,350,279,BRC1058B,Nome não encontrado
Umidade,g,"24,5","19,6",BRC1058B,Nome não encontrado
Carboidrato total,g,"64,7","51,7",BRC1058B,Nome não encontrado
Carboidrato disponível,g,"64,5","51,6",BRC1058B,Nome não encontrado
Proteína,g,"0,32","0,26",BRC1058B,Nome não encontrado
Lipídios,g,"10,0","8,00",BRC1058B,Nome não encontrado
Fibra alimentar,g,"0,18","0,14",BRC1058B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1058B,Nome não encontrado
Cinzas,g,"0,38","0,31",BRC1058B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC1058B,Nome não encontrado
Ácidos graxos saturados,g,"8,33","6,66",BRC1058B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,64","0,51",BRC1058B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,14",BRC1058B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC1058B,Nome não encontrado
Cálcio,mg,"20,6","16,5",BRC1058B,Nome não encontrado
Ferro,mg,"0,39","0,31",BRC1058B,Nome não encontrado
Sódio,mg,102,"81,6",BRC1058B,Nome não encontrado
Magnésio,mg,"3,06","2,45",BRC1058B,Nome não encontrado
Fósforo,mg,"6,24","4,99",BRC1058B,Nome não encontrado
Potássio,mg,"28,1","22,4",BRC1058B,Nome não encontrado
Manganês,mg,"0,07","0,05",BRC1058B,Nome não encontrado
Zinco,mg,"0,00","0,00",BRC1058B,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC1058B,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC1058B,Nome não encontrado
Tiamina,mg,traços,traços,BRC1058B,Nome não encontrado
Riboflavina,mg,traços,traços,BRC1058B,Nome não encontrado
Niacina,mg,traços,traços,BRC1058B,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC1058B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Vitamina C,mg,traços,traços,BRC1058B,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC1058B,Nome não encontrado
Sal de adição,g,"0,25","0,20",BRC1058B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1058B,Nome não encontrado
Gordura de adição,g,-,-,BRC1058B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1058B,Nome não encontrado
Proteína animal,g,-,-,BRC1058B,Nome não encontrado
