componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,644,321,708,579,BRC1094A,Nome não encontrado
Energia,kcal,153,76,168,137,BRC1094A,Nome não encontrado
Umidade,g,"66,7","33,4","73,4","60,0",BRC1094A,Nome não encontrado
Carboidrato total,g,"18,4","9,18","20,2","16,5",BRC1094A,Nome não encontrado
Carboidrato disponível,g,"16,1","8,07","17,7","14,5",BRC1094A,Nome não encontrado
Proteína,g,"8,92","4,46","9,81","8,03",BRC1094A,Nome não encontrado
Lipídios,g,"5,40","2,70","5,93","4,86",BRC1094A,Nome não encontrado
Fibra alimentar,g,"2,23","1,12","2,45","2,01",BRC1094A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC1094A,Nome não encontrado
Cinzas,g,"0,62","0,31","0,68","0,55",BRC1094A,Nome não encontrado
Colesterol,mg,"15,9","7,94","17,5","14,3",BRC1094A,Nome não encontrado
Ácidos graxos saturados,g,"2,44","1,22","2,68","2,19",BRC1094A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,50","0,75","1,65","1,35",BRC1094A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","0,47","1,02","0,84",BRC1094A,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,05","0,11","0,09",BRC1094A,Nome não encontrado
Cálcio,mg,"51,2","25,6","56,3","46,1",BRC1094A,Nome não encontrado
Ferro,mg,"0,77","0,39","0,85","0,70",BRC1094A,Nome não encontrado
Sódio,mg,"48,9","24,4","53,7","44,0",BRC1094A,Nome não encontrado
Magnésio,mg,"13,5","6,76","14,9","12,2",BRC1094A,Nome não encontrado
Fósforo,mg,"91,7","45,8",100,"82,5",BRC1094A,Nome não encontrado
Potássio,mg,116,"58,4",128,105,BRC1094A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,23","0,19",BRC1094A,Nome não encontrado
Zinco,mg,"1,39","0,70","1,53","1,25",BRC1094A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,08","0,07",BRC1094A,Nome não encontrado
Selênio,mcg,"3,19","1,60","3,51","2,87",BRC1094A,Nome não encontrado
Vitamina A (RE),mcg,"33,2","16,6","36,5","29,9",BRC1094A,Nome não encontrado
Vitamina A (RAE),mcg,"32,1","16,1","35,4","28,9",BRC1094A,Nome não encontrado
Vitamina D,mcg,"0,35","0,18","0,39","0,32",BRC1094A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,20","0,44","0,36",BRC1094A,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,07","0,06",BRC1094A,Nome não encontrado
Riboflavina,mg,"0,10","0,05","0,10","0,09",BRC1094A,Nome não encontrado
Niacina,mg,"1,77","0,88","1,94","1,59",BRC1094A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,07","0,05",BRC1094A,Nome não encontrado
Vitamina B12,mcg,"0,31","0,16","0,34","0,28",BRC1094A,Nome não encontrado
Vitamina C,mg,"0,52","0,26","0,57","0,47",BRC1094A,Nome não encontrado
Equivalente de folato,mcg,"18,0","9,00","19,8","16,2",BRC1094A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC1094A,Nome não encontrado
Açúcar de adição,g,,traços,,,BRC1094A,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC1094A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC1094A,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC1094A,Nome não encontrado
