componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,631,347,BRC0187A,Nome não encontrado
Energia,kcal,151,83,BRC0187A,Nome não encontrado
Umidade,g,"68,0","37,4",BRC0187A,Nome não encontrado
Carboidrato total,g,"11,6","6,37",BRC0187A,Nome não encontrado
Carboidrato disponível,g,"10,1","5,55",BRC0187A,Nome não encontrado
Proteína,g,"10,8","5,96",BRC0187A,Nome não encontrado
Lipídios,g,"7,12","3,92",BRC0187A,Nome não encontrado
Fibra alimentar,g,"1,50","0,83",BRC0187A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0187A,Nome não encontrado
Cinzas,g,"2,43","1,33",BRC0187A,Nome não encontrado
Colesterol,mg,"36,1","19,8",BRC0187A,Nome não encontrado
Ácidos graxos saturados,g,"3,20","1,76",BRC0187A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,00","1,65",BRC0187A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,11",BRC0187A,Nome não encontrado
Ácidos graxos trans,g,"0,21","0,12",BRC0187A,Nome não encontrado
Cálcio,mg,"13,3","7,29",BRC0187A,Nome não encontrado
Ferro,mg,"0,96","0,53",BRC0187A,Nome não encontrado
Sódio,mg,1621,891,BRC0187A,Nome não encontrado
Magnésio,mg,"9,29","5,11",BRC0187A,Nome não encontrado
Fósforo,mg,"47,6","26,2",BRC0187A,Nome não encontrado
Potássio,mg,"87,2","47,9",BRC0187A,Nome não encontrado
Manganês,mg,"0,18","0,10",BRC0187A,Nome não encontrado
Zinco,mg,"2,67","1,47",BRC0187A,Nome não encontrado
Cobre,mg,"0,08","0,04",BRC0187A,Nome não encontrado
Selênio,mcg,,,BRC0187A,Nome não encontrado
Vitamina A (RE),mcg,"9,86","5,42",BRC0187A,Nome não encontrado
Vitamina A (RAE),mcg,"4,93","2,71",BRC0187A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0187A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,17",BRC0187A,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0187A,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0187A,Nome não encontrado
Niacina,mg,"1,60","0,88",BRC0187A,Nome não encontrado
Vitamina B6,mg,"0,07","0,04",BRC0187A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0187A,Nome não encontrado
Vitamina C,mg,"1,08","0,59",BRC0187A,Nome não encontrado
Equivalente de folato,mcg,"13,0","7,15",BRC0187A,Nome não encontrado
Sal de adição,g,,,BRC0187A,Nome não encontrado
Açúcar de adição,g,,,BRC0187A,Nome não encontrado
Gordura de adição,g,-,-,BRC0187A,Nome não encontrado
Proteína vegetal,g,-,-,BRC0187A,Nome não encontrado
Proteína animal,g,-,-,BRC0187A,Nome não encontrado
