componente,unidade,Valor por 100g,Colher servir cheia (80 g),Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,448,358,201,BRC1034B,Nome não encontrado
Energia,kcal,107,85,48,BRC1034B,Nome não encontrado
Umidade,g,"77,7","62,2","35,0",BRC1034B,Nome não encontrado
Carboidrato total,g,"10,9","8,74","4,92",BRC1034B,Nome não encontrado
Carboidrato disponível,g,"9,55","7,64","4,30",BRC1034B,Nome não encontrado
Proteína,g,"4,57","3,65","2,06",BRC1034B,Nome não encontrado
Lipídios,g,"5,27","4,22","2,37",BRC1034B,Nome não encontrado
Fibra alimentar,g,"1,38","1,10","0,62",BRC1034B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1034B,Nome não encontrado
Cinzas,g,"1,53","1,22","0,69",BRC1034B,Nome não encontrado
Colesterol,mg,"6,02","4,81","2,71",BRC1034B,Nome não encontrado
Ácidos graxos saturados,g,"2,74","2,19","1,23",BRC1034B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,32","1,06","0,59",BRC1034B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,56","0,44","0,25",BRC1034B,Nome não encontrado
Ácidos graxos trans,g,"0,13","0,10","0,06",BRC1034B,Nome não encontrado
Cálcio,mg,120,"96,5","54,3",BRC1034B,Nome não encontrado
Ferro,mg,"0,33","0,27","0,15",BRC1034B,Nome não encontrado
Sódio,mg,333,267,150,BRC1034B,Nome não encontrado
Magnésio,mg,"9,19","7,35","4,13",BRC1034B,Nome não encontrado
Fósforo,mg,105,"84,2","47,3",BRC1034B,Nome não encontrado
Potássio,mg,210,168,"94,9",BRC1034B,Nome não encontrado
Manganês,mg,"0,06","0,05","0,03",BRC1034B,Nome não encontrado
Zinco,mg,"0,64","0,51","0,29",BRC1034B,Nome não encontrado
Cobre,mg,"0,07","0,05","0,03",BRC1034B,Nome não encontrado
Selênio,mcg,"3,22","2,58","1,45",BRC1034B,Nome não encontrado
Vitamina A (RE),mcg,"16,1","12,8","7,23",BRC1034B,Nome não encontrado
Vitamina A (RAE),mcg,"15,2","12,2","6,85",BRC1034B,Nome não encontrado
Vitamina D,mcg,"0,07","0,05","0,03",BRC1034B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,07","0,04",BRC1034B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02",BRC1034B,Nome não encontrado
Riboflavina,mg,"0,08","0,06","0,04",BRC1034B,Nome não encontrado
Niacina,mg,"0,23","0,19","0,11",BRC1034B,Nome não encontrado
Vitamina B6,mg,"0,09","0,07","0,04",BRC1034B,Nome não encontrado
Vitamina B12,mcg,"0,19","0,15","0,08",BRC1034B,Nome não encontrado
Vitamina C,mg,"2,86","2,29","1,29",BRC1034B,Nome não encontrado
Equivalente de folato,mcg,"4,92","3,93","2,21",BRC1034B,Nome não encontrado
Sal de adição,g,,,,BRC1034B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1034B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1034B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1034B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1034B,Nome não encontrado
