componente,unidade,Valor por 100g,Colher servir cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,638,287,BRC0377E,Nome não encontrado
Energia,kcal,153,68,BRC0377E,Nome não encontrado
Umidade,g,"72,0","32,4",BRC0377E,Nome não encontrado
Carboidrato total,g,"2,42","1,09",BRC0377E,Nome não encontrado
Carboidrato disponível,g,"2,00","0,90",BRC0377E,Nome não encontrado
Proteína,g,"13,2","5,95",BRC0377E,Nome não encontrado
Lipídios,g,"10,1","4,54",BRC0377E,Nome não encontrado
Fibra alimentar,g,"0,42","0,19",BRC0377E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0377E,Nome não encontrado
Cinzas,g,"2,27","1,02",BRC0377E,Nome não encontrado
Colesterol,mg,140,"63,4",BRC0377E,Nome não encontrado
Ácidos graxos saturados,g,"4,88","2,19",BRC0377E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,46","1,11",BRC0377E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,93","0,42",BRC0377E,Nome não encontrado
Ácidos graxos trans,g,"0,24","0,11",BRC0377E,Nome não encontrado
Cálcio,mg,173,"78,1",BRC0377E,Nome não encontrado
Ferro,mg,"1,39","0,63",BRC0377E,Nome não encontrado
Sódio,mg,604,272,BRC0377E,Nome não encontrado
Magnésio,mg,"16,3","7,33",BRC0377E,Nome não encontrado
Fósforo,mg,290,130,BRC0377E,Nome não encontrado
Potássio,mg,127,"57,4",BRC0377E,Nome não encontrado
Manganês,mg,"0,11","0,05",BRC0377E,Nome não encontrado
Zinco,mg,"1,20","0,54",BRC0377E,Nome não encontrado
Cobre,mg,"0,23","0,11",BRC0377E,Nome não encontrado
Selênio,mcg,"4,50","2,03",BRC0377E,Nome não encontrado
Vitamina A (RE),mcg,"63,4","28,5",BRC0377E,Nome não encontrado
Vitamina A (RAE),mcg,"62,7","28,2",BRC0377E,Nome não encontrado
Vitamina D,mcg,"0,19","0,08",BRC0377E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,12","0,50",BRC0377E,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0377E,Nome não encontrado
Riboflavina,mg,"0,08","0,03",BRC0377E,Nome não encontrado
Niacina,mg,"0,07","0,03",BRC0377E,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0377E,Nome não encontrado
Vitamina B12,mcg,"0,97","0,43",BRC0377E,Nome não encontrado
Vitamina C,mg,"3,38","1,52",BRC0377E,Nome não encontrado
Equivalente de folato,mcg,"15,4","6,95",BRC0377E,Nome não encontrado
Sal de adição,g,"0,45","0,20",BRC0377E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0377E,Nome não encontrado
Gordura de adição,g,-,-,BRC0377E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0377E,Nome não encontrado
Proteína animal,g,-,-,BRC0377E,Nome não encontrado
