componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,899,898,BRC0030J,Nome não encontrado
Energia,kcal,216,216,BRC0030J,Nome não encontrado
Umidade,g,"65,9","65,9",BRC0030J,Nome não encontrado
Carboidrato total,g,"2,20","2,20",BRC0030J,Nome não encontrado
Carboidrato disponível,g,"2,16","2,16",BRC0030J,Nome não encontrado
Proteína,g,"13,4","13,4",BRC0030J,Nome não encontrado
Lipídios,g,"17,1","17,1",BRC0030J,Nome não encontrado
Fibra alimentar,g,"0,03","0,03",BRC0030J,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0030J,Nome não encontrado
Cinzas,g,"1,39","1,39",BRC0030J,Nome não encontrado
Colesterol,mg,314,314,BRC0030J,Nome não encontrado
Ácidos graxos saturados,g,"5,32","5,32",BRC0030J,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,29","5,29",BRC0030J,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,43","4,43",BRC0030J,Nome não encontrado
Ácidos graxos trans,g,"0,17","0,17",BRC0030J,Nome não encontrado
Cálcio,mg,165,165,BRC0030J,Nome não encontrado
Ferro,mg,"1,59","1,59",BRC0030J,Nome não encontrado
Sódio,mg,218,218,BRC0030J,Nome não encontrado
Magnésio,mg,"13,0","13,0",BRC0030J,Nome não encontrado
Fósforo,mg,209,209,BRC0030J,Nome não encontrado
Potássio,mg,141,141,BRC0030J,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0030J,Nome não encontrado
Zinco,mg,"1,73","1,73",BRC0030J,Nome não encontrado
Cobre,mg,"0,08","0,08",BRC0030J,Nome não encontrado
Selênio,mcg,"15,5","15,5",BRC0030J,Nome não encontrado
Vitamina A (RE),mcg,165,165,BRC0030J,Nome não encontrado
Vitamina A (RAE),mcg,157,157,BRC0030J,Nome não encontrado
Vitamina D,mcg,"1,66","1,66",BRC0030J,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,01","1,01",BRC0030J,Nome não encontrado
Tiamina,mg,"0,05","0,05",BRC0030J,Nome não encontrado
Riboflavina,mg,"0,49","0,49",BRC0030J,Nome não encontrado
Niacina,mg,"0,58","0,58",BRC0030J,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0030J,Nome não encontrado
Vitamina B12,mcg,"1,06","1,06",BRC0030J,Nome não encontrado
Vitamina C,mg,"0,42","0,42",BRC0030J,Nome não encontrado
Equivalente de folato,mcg,"28,9","28,9",BRC0030J,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0030J,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0030J,Nome não encontrado
Gordura de adição,g,-,-,BRC0030J,Nome não encontrado
Proteína vegetal,g,-,-,BRC0030J,Nome não encontrado
Proteína animal,g,-,-,BRC0030J,Nome não encontrado
