componente,unidade,Valor por 100g,Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,124,43,BRC0701B,Nome não encontrado
Energia,kcal,30,10,BRC0701B,Nome não encontrado
Umidade,g,"91,1","31,9",BRC0701B,Nome não encontrado
Carboidrato total,g,"5,29","1,85",BRC0701B,Nome não encontrado
Carboidrato disponível,g,"3,09","1,08",BRC0701B,Nome não encontrado
Proteína,g,"2,17","0,76",BRC0701B,Nome não encontrado
Lipídios,g,"0,47","0,16",BRC0701B,Nome não encontrado
Fibra alimentar,g,"2,20","0,77",BRC0701B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0701B,Nome não encontrado
Cinzas,g,"0,99","0,35",BRC0701B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0701B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,02",BRC0701B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0701B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,06",BRC0701B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0701B,Nome não encontrado
Cálcio,mg,"6,00","2,10",BRC0701B,Nome não encontrado
Ferro,mg,"1,74","0,61",BRC0701B,Nome não encontrado
Sódio,mg,238,"83,3",BRC0701B,Nome não encontrado
Magnésio,mg,"12,0","4,20",BRC0701B,Nome não encontrado
Fósforo,mg,"87,0","30,5",BRC0701B,Nome não encontrado
Potássio,mg,356,124,BRC0701B,Nome não encontrado
Manganês,mg,"0,11","0,04",BRC0701B,Nome não encontrado
Zinco,mg,"0,87","0,30",BRC0701B,Nome não encontrado
Cobre,mg,"0,50","0,18",BRC0701B,Nome não encontrado
Selênio,mcg,"13,4","4,69",BRC0701B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0701B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0701B,Nome não encontrado
Vitamina D,mcg,"0,20","0,07",BRC0701B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,00",BRC0701B,Nome não encontrado
Tiamina,mg,"0,07","0,03",BRC0701B,Nome não encontrado
Riboflavina,mg,"0,30","0,11",BRC0701B,Nome não encontrado
Niacina,mg,"4,46","1,56",BRC0701B,Nome não encontrado
Vitamina B6,mg,"0,09","0,03",BRC0701B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0701B,Nome não encontrado
Vitamina C,mg,"4,00","1,40",BRC0701B,Nome não encontrado
Equivalente de folato,mcg,"18,0","6,30",BRC0701B,Nome não encontrado
Sal de adição,g,,,BRC0701B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0701B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0701B,Nome não encontrado
Proteína vegetal,g,"2,17","0,76",BRC0701B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0701B,Nome não encontrado
