componente,unidade,Valor por 100g,Copo americano duplo (240 ml),Copo americano pequeno (165 ml),codigo_alimento,nome_alimento
Umidade,g,"74,8",179,123,BRC1121A,Nome não encontrado
Carboidrato total,g,"22,1","53,0","36,4",BRC1121A,Nome não encontrado
Carboidrato disponível,g,"21,8","52,4","36,0",BRC1121A,Nome não encontrado
Proteína,g,"1,08","2,58","1,78",BRC1121A,Nome não encontrado
Lipídios,g,"1,17","2,80","1,92",BRC1121A,Nome não encontrado
Fibra alimentar,g,"0,25","0,60","0,42",BRC1121A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Cinzas,g,"0,53","1,28","0,88",BRC1121A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Ácidos graxos saturados,g,"0,21","0,49","0,34",BRC1121A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,65","1,55","1,07",BRC1121A,Nome não encontrado
Ácidos graxos poliinsaturados,g,262,631,433,BRC1121A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Cálcio,mg,114,275,189,BRC1121A,Nome não encontrado
Ferro,mg,"1,71","4,11","2,83",BRC1121A,Nome não encontrado
Sódio,mg,"35,7","85,6","58,8",BRC1121A,Nome não encontrado
Magnésio,mg,"61,8",148,102,BRC1121A,Nome não encontrado
Fósforo,mg,122,294,202,BRC1121A,Nome não encontrado
Potássio,mg,188,453,311,BRC1121A,Nome não encontrado
Manganês,mg,"0,36","0,86","0,59",BRC1121A,Nome não encontrado
Zinco,mg,"0,81","1,95","1,34",BRC1121A,Nome não encontrado
Cobre,mg,"31,1","74,6","51,3",BRC1121A,Nome não encontrado
Selênio,mcg,"1,85","4,44","3,05",BRC1121A,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1121A,Nome não encontrado
Vitamina A (RAE),mcg,"52,9",127,"87,3",BRC1121A,Nome não encontrado
Vitamina D,mcg,"1,66","3,98","2,74",BRC1121A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,95","0,66",BRC1121A,Nome não encontrado
Tiamina,mg,"22,7","54,5","37,4",BRC1121A,Nome não encontrado
Riboflavina,mg,119,286,196,BRC1121A,Nome não encontrado
Niacina,mg,"0,55","1,32","0,91",BRC1121A,Nome não encontrado
Vitamina B6,mg,"32,8","78,7","54,1",BRC1121A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Equivalente de folato,mcg,"4,95","11,9","8,16",BRC1121A,Nome não encontrado
Sal de adição,g,"6,00","14,4","9,90",BRC1121A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1121A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1121A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC1121A,Nome não encontrado
Proteína animal,g,-,-,-,BRC1121A,Nome não encontrado
