componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,200,40,260,BRC0133T,Nome não encontrado
Energia,kcal,48,9,62,BRC0133T,Nome não encontrado
Umidade,g,"86,1","17,2",111,BRC0133T,Nome não encontrado
Carboidrato total,g,"9,16","1,83","11,9",BRC0133T,Nome não encontrado
Carboidrato disponível,g,"4,74","0,95","6,16",BRC0133T,Nome não encontrado
Proteína,g,"2,65","0,53","3,45",BRC0133T,Nome não encontrado
Lipídios,g,"1,07","0,21","1,39",BRC0133T,Nome não encontrado
Fibra alimentar,g,"4,42","0,88","5,75",BRC0133T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0133T,Nome não encontrado
Cinzas,g,"0,97","0,19","1,26",BRC0133T,Nome não encontrado
Colesterol,mg,"0,48","0,10","0,63",BRC0133T,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,04","0,24",BRC0133T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,05","0,31",BRC0133T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,59","0,12","0,77",BRC0133T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01",BRC0133T,Nome não encontrado
Cálcio,mg,"17,8","3,55","23,1",BRC0133T,Nome não encontrado
Ferro,mg,"0,76","0,15","0,98",BRC0133T,Nome não encontrado
Sódio,mg,190,"38,1",247,BRC0133T,Nome não encontrado
Magnésio,mg,"21,4","4,28","27,8",BRC0133T,Nome não encontrado
Fósforo,mg,"50,1","10,0","65,1",BRC0133T,Nome não encontrado
Potássio,mg,185,"37,2",241,BRC0133T,Nome não encontrado
Manganês,mg,"0,19","0,04","0,25",BRC0133T,Nome não encontrado
Zinco,mg,"0,95","0,19","1,23",BRC0133T,Nome não encontrado
Cobre,mg,"0,27","0,05","0,35",BRC0133T,Nome não encontrado
Selênio,mcg,"1,33","0,27","1,73",BRC0133T,Nome não encontrado
Vitamina A (RE),mcg,"82,9","16,6",107,BRC0133T,Nome não encontrado
Vitamina A (RAE),mcg,"41,7","8,34","54,2",BRC0133T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0133T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24","0,05","0,31",BRC0133T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0133T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0133T,Nome não encontrado
Niacina,mg,"0,21","0,04","0,27",BRC0133T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05",BRC0133T,Nome não encontrado
Vitamina B12,mcg,"0,01","0,00","0,02",BRC0133T,Nome não encontrado
Vitamina C,mg,"1,38","0,28","1,80",BRC0133T,Nome não encontrado
Equivalente de folato,mcg,"42,7","8,53","55,5",BRC0133T,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0133T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0133T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0133T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0133T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0133T,Nome não encontrado
