componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,323,194,129,BRC0722B,Nome não encontrado
Energia,kcal,77,46,30,BRC0722B,Nome não encontrado
Umidade,g,"83,3","50,0","33,3",BRC0722B,Nome não encontrado
Carboidrato total,g,"6,31","3,79","2,53",BRC0722B,Nome não encontrado
Carboidrato disponível,g,"5,02","3,01","2,01",BRC0722B,Nome não encontrado
Proteína,g,"6,24","3,74","2,49",BRC0722B,Nome não encontrado
Lipídios,g,"3,29","1,97","1,32",BRC0722B,Nome não encontrado
Fibra alimentar,g,"1,30","0,78","0,52",BRC0722B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0722B,Nome não encontrado
Cinzas,g,"0,88","0,53","0,35",BRC0722B,Nome não encontrado
Colesterol,mg,"15,7","9,40","6,27",BRC0722B,Nome não encontrado
Ácidos graxos saturados,g,"1,06","0,64","0,43",BRC0722B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","0,67","0,45",BRC0722B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,82","0,49","0,33",BRC0722B,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,03","0,02",BRC0722B,Nome não encontrado
Cálcio,mg,"10,3","6,17","4,11",BRC0722B,Nome não encontrado
Ferro,mg,"0,77","0,46","0,31",BRC0722B,Nome não encontrado
Sódio,mg,175,105,"70,3",BRC0722B,Nome não encontrado
Magnésio,mg,"11,4","6,86","4,57",BRC0722B,Nome não encontrado
Fósforo,mg,"67,4","40,4","27,0",BRC0722B,Nome não encontrado
Potássio,mg,224,134,"89,7",BRC0722B,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03",BRC0722B,Nome não encontrado
Zinco,mg,"0,96","0,57","0,38",BRC0722B,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0722B,Nome não encontrado
Selênio,mcg,"0,19","0,11","0,08",BRC0722B,Nome não encontrado
Vitamina A (RE),mcg,136,"81,7","54,5",BRC0722B,Nome não encontrado
Vitamina A (RAE),mcg,"71,7","43,0","28,7",BRC0722B,Nome não encontrado
Vitamina D,mcg,"0,05","0,03","0,02",BRC0722B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,64","0,39","0,26",BRC0722B,Nome não encontrado
Tiamina,mg,"0,04","0,03","0,02",BRC0722B,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01",BRC0722B,Nome não encontrado
Niacina,mg,"1,23","0,74","0,49",BRC0722B,Nome não encontrado
Vitamina B6,mg,"0,06","0,04","0,02",BRC0722B,Nome não encontrado
Vitamina B12,mcg,"0,47","0,28","0,19",BRC0722B,Nome não encontrado
Vitamina C,mg,"8,40","5,04","3,36",BRC0722B,Nome não encontrado
Equivalente de folato,mcg,"9,54","5,72","3,81",BRC0722B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19",BRC0722B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0722B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0722B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0722B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0722B,Nome não encontrado
