componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,447,268,201,BRC0120E,Nome não encontrado
Energia,kcal,106,63,47,BRC0120E,Nome não encontrado
Umidade,g,"73,9","44,3","33,2",BRC0120E,Nome não encontrado
Carboidrato total,g,"2,83","1,70","1,28",BRC0120E,Nome não encontrado
Carboidrato disponível,g,"2,49","1,49","1,12",BRC0120E,Nome não encontrado
Proteína,g,"20,2","12,1","9,09",BRC0120E,Nome não encontrado
Lipídios,g,"1,60","0,96","0,72",BRC0120E,Nome não encontrado
Fibra alimentar,g,"0,35","0,21","0,16",BRC0120E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0120E,Nome não encontrado
Cinzas,g,"1,50","0,90","0,67",BRC0120E,Nome não encontrado
Colesterol,mg,"64,1","38,5","28,8",BRC0120E,Nome não encontrado
Ácidos graxos saturados,g,"0,31","0,19","0,14",BRC0120E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,31","0,18","0,14",BRC0120E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,75","0,45","0,34",BRC0120E,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0120E,Nome não encontrado
Cálcio,mg,"11,5","6,89","5,16",BRC0120E,Nome não encontrado
Ferro,mg,"0,46","0,28","0,21",BRC0120E,Nome não encontrado
Sódio,mg,203,121,"91,5",BRC0120E,Nome não encontrado
Magnésio,mg,"19,0","11,4","8,53",BRC0120E,Nome não encontrado
Fósforo,mg,166,"99,7","74,8",BRC0120E,Nome não encontrado
Potássio,mg,237,142,106,BRC0120E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02",BRC0120E,Nome não encontrado
Zinco,mg,"0,52","0,31","0,24",BRC0120E,Nome não encontrado
Cobre,mg,"0,04","0,03","0,02",BRC0120E,Nome não encontrado
Selênio,mcg,"26,3","15,8","11,8",BRC0120E,Nome não encontrado
Vitamina A (RE),mcg,"2,38","1,43","1,07",BRC0120E,Nome não encontrado
Vitamina A (RAE),mcg,"4,43","2,66","1,99",BRC0120E,Nome não encontrado
Vitamina D,mcg,"0,07","0,04","0,03",BRC0120E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,65","0,39","0,29",BRC0120E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01",BRC0120E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02",BRC0120E,Nome não encontrado
Niacina,mg,"7,59","4,56","3,42",BRC0120E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01",BRC0120E,Nome não encontrado
Vitamina B12,mcg,"0,88","0,53","0,39",BRC0120E,Nome não encontrado
Vitamina C,mg,"8,95","5,37","4,03",BRC0120E,Nome não encontrado
Equivalente de folato,mcg,"9,50","5,70","4,28",BRC0120E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20",BRC0120E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0120E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0120E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0120E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0120E,Nome não encontrado
