componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,1530,612,BRC0119A,Nome não encontrado
Energia,kcal,361,144,BRC0119A,Nome não encontrado
Umidade,g,"10,6","4,23",BRC0119A,Nome não encontrado
Carboidrato total,g,"76,6","30,6",BRC0119A,Nome não encontrado
Carboidrato disponível,g,"74,3","29,7",BRC0119A,Nome não encontrado
Proteína,g,"10,3","4,13",BRC0119A,Nome não encontrado
Lipídios,g,"1,97","0,79",BRC0119A,Nome não encontrado
Fibra alimentar,g,"2,30","0,92",BRC0119A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0119A,Nome não encontrado
Cinzas,g,"0,52","0,21",BRC0119A,Nome não encontrado
Colesterol,mg,"17,6","7,03",BRC0119A,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,21",BRC0119A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,15",BRC0119A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,30",BRC0119A,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,04",BRC0119A,Nome não encontrado
Cálcio,mg,"19,5","7,78",BRC0119A,Nome não encontrado
Ferro,mg,"4,20","1,68",BRC0119A,Nome não encontrado
Sódio,mg,"14,7","5,90",BRC0119A,Nome não encontrado
Magnésio,mg,traços,traços,BRC0119A,Nome não encontrado
Fósforo,mg,118,"47,4",BRC0119A,Nome não encontrado
Potássio,mg,134,"53,6",BRC0119A,Nome não encontrado
Manganês,mg,"0,40","0,16",BRC0119A,Nome não encontrado
Zinco,mg,"0,81","0,33",BRC0119A,Nome não encontrado
Cobre,mg,"0,14","0,05",BRC0119A,Nome não encontrado
Selênio,mcg,"5,10","2,04",BRC0119A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0119A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0119A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0119A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,06",BRC0119A,Nome não encontrado
Tiamina,mg,"0,11","0,04",BRC0119A,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0119A,Nome não encontrado
Niacina,mg,"4,37","1,75",BRC0119A,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0119A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0119A,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0119A,Nome não encontrado
Equivalente de folato,mcg,272,109,BRC0119A,Nome não encontrado
Sal de adição,g,,,BRC0119A,Nome não encontrado
Açúcar de adição,g,,,BRC0119A,Nome não encontrado
Gordura de adição,g,,,BRC0119A,Nome não encontrado
Proteína vegetal,g,,,BRC0119A,Nome não encontrado
Proteína animal,g,,,BRC0119A,Nome não encontrado
