componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,659,362,296,BRC0127G,Nome não encontrado
Energia,kcal,156,85,70,BRC0127G,Nome não encontrado
Umidade,g,"64,5","35,5","29,0",BRC0127G,Nome não encontrado
Carboidrato total,g,"24,9","13,7","11,2",BRC0127G,Nome não encontrado
Carboidrato disponível,g,"24,3","13,3","10,9",BRC0127G,Nome não encontrado
Proteína,g,"5,48","3,01","2,46",BRC0127G,Nome não encontrado
Lipídios,g,"4,01","2,20","1,80",BRC0127G,Nome não encontrado
Fibra alimentar,g,"0,67","0,37","0,30",BRC0127G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0127G,Nome não encontrado
Cinzas,g,"1,09","0,60","0,49",BRC0127G,Nome não encontrado
Colesterol,mg,"12,2","6,72","5,50",BRC0127G,Nome não encontrado
Ácidos graxos saturados,g,"2,41","1,32","1,08",BRC0127G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,08","0,59","0,49",BRC0127G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,26","0,14","0,12",BRC0127G,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0127G,Nome não encontrado
Cálcio,mg,130,"72,0","58,9",BRC0127G,Nome não encontrado
Ferro,mg,"2,41","1,32","1,08",BRC0127G,Nome não encontrado
Sódio,mg,"80,1","44,0","36,0",BRC0127G,Nome não encontrado
Magnésio,mg,"22,6","12,4","10,2",BRC0127G,Nome não encontrado
Fósforo,mg,139,"76,7","62,8",BRC0127G,Nome não encontrado
Potássio,mg,195,107,"87,9",BRC0127G,Nome não encontrado
Manganês,mg,"0,40","0,22","0,18",BRC0127G,Nome não encontrado
Zinco,mg,"0,74","0,41","0,33",BRC0127G,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0127G,Nome não encontrado
Selênio,mcg,"4,20","2,31","1,89",BRC0127G,Nome não encontrado
Vitamina A (RE),mcg,176,"97,1","79,5",BRC0127G,Nome não encontrado
Vitamina A (RAE),mcg,176,"96,8","79,2",BRC0127G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0127G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,44","0,79","0,65",BRC0127G,Nome não encontrado
Tiamina,mg,"0,41","0,22","0,18",BRC0127G,Nome não encontrado
Riboflavina,mg,"0,47","0,26","0,21",BRC0127G,Nome não encontrado
Niacina,mg,"3,61","1,99","1,62",BRC0127G,Nome não encontrado
Vitamina B6,mg,"0,31","0,17","0,14",BRC0127G,Nome não encontrado
Vitamina B12,mcg,"0,24","0,13","0,11",BRC0127G,Nome não encontrado
Vitamina C,mg,"6,55","3,60","2,95",BRC0127G,Nome não encontrado
Equivalente de folato,mcg,"37,0","20,3","16,6",BRC0127G,Nome não encontrado
Sal de adição,g,,,,BRC0127G,Nome não encontrado
Açúcar de adição,g,,,,BRC0127G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0127G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0127G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0127G,Nome não encontrado
