componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1785,71,17,BRC1094B,Nome não encontrado
Energia,kcal,428,17,4,BRC1094B,Nome não encontrado
Umidade,g,"8,06","0,32","0,08",BRC1094B,Nome não encontrado
Carboidrato total,g,"44,2","1,77","0,44",BRC1094B,Nome não encontrado
Carboidrato disponível,g,"33,7","1,35","0,34",BRC1094B,Nome não encontrado
Proteína,g,"17,8","0,71","0,18",BRC1094B,Nome não encontrado
Lipídios,g,"22,3","0,89","0,22",BRC1094B,Nome não encontrado
Fibra alimentar,g,"10,5","0,42","0,11",BRC1094B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Cinzas,g,"7,62","0,30","0,08",BRC1094B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Ácidos graxos saturados,g,"1,54","0,06","0,02",BRC1094B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"14,0","0,56","0,14",BRC1094B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,28","0,13","0,03",BRC1094B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Cálcio,mg,931,"37,2","9,31",BRC1094B,Nome não encontrado
Ferro,mg,"66,4","2,66","0,66",BRC1094B,Nome não encontrado
Sódio,mg,168,"6,72","1,68",BRC1094B,Nome não encontrado
Magnésio,mg,366,"14,6","3,66",BRC1094B,Nome não encontrado
Fósforo,mg,499,"20,0","4,99",BRC1094B,Nome não encontrado
Potássio,mg,1790,"71,6","17,9",BRC1094B,Nome não encontrado
Manganês,mg,"3,33","0,13","0,03",BRC1094B,Nome não encontrado
Zinco,mg,"4,80","0,19","0,05",BRC1094B,Nome não encontrado
Cobre,mg,"0,87","0,03","0,01",BRC1094B,Nome não encontrado
Selênio,mcg,"5,20","0,21","0,05",BRC1094B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC1094B,Nome não encontrado
Vitamina A (RAE),mcg,"64,0","2,56","0,64",BRC1094B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,33","0,13","0,03",BRC1094B,Nome não encontrado
Tiamina,mg,"0,63","0,03","0,01",BRC1094B,Nome não encontrado
Riboflavina,mg,"0,33","0,01","0,00",BRC1094B,Nome não encontrado
Niacina,mg,"4,58","0,18","0,05",BRC1094B,Nome não encontrado
Vitamina B6,mg,"0,44","0,02","0,00",BRC1094B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Vitamina C,mg,"7,70","0,31","0,08",BRC1094B,Nome não encontrado
Equivalente de folato,mcg,"10,00","0,40","0,10",BRC1094B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1094B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC1094B,Nome não encontrado
Proteína vegetal,g,"17,8","0,71","0,18",BRC1094B,Nome não encontrado
Proteína animal,g,-,-,-,BRC1094B,Nome não encontrado
