componente,unidade,Valor por 100g,Colher sopa cheia (45 g),codigo_alimento,nome_alimento
Energia,kJ,1141,513,BRC0252T,Nome não encontrado
Energia,kcal,275,123,BRC0252T,Nome não encontrado
Umidade,g,"52,3","23,5",BRC0252T,Nome não encontrado
Carboidrato total,g,"18,0","8,11",BRC0252T,Nome não encontrado
Carboidrato disponível,g,"11,4","5,11",BRC0252T,Nome não encontrado
Proteína,g,"7,65","3,44",BRC0252T,Nome não encontrado
Lipídios,g,"20,7","9,30",BRC0252T,Nome não encontrado
Fibra alimentar,g,"6,67","3,00",BRC0252T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0252T,Nome não encontrado
Cinzas,g,"1,37","0,62",BRC0252T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0252T,Nome não encontrado
Ácidos graxos saturados,g,"3,04","1,37",BRC0252T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"12,1","5,44",BRC0252T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,07","2,28",BRC0252T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0252T,Nome não encontrado
Cálcio,mg,"78,1","35,1",BRC0252T,Nome não encontrado
Ferro,mg,"3,02","1,36",BRC0252T,Nome não encontrado
Sódio,mg,"20,9","9,40",BRC0252T,Nome não encontrado
Magnésio,mg,"39,7","17,8",BRC0252T,Nome não encontrado
Fósforo,mg,183,"82,5",BRC0252T,Nome não encontrado
Potássio,mg,259,116,BRC0252T,Nome não encontrado
Manganês,mg,183,"82,8",BRC0252T,Nome não encontrado
Zinco,mg,"2,08","0,94",BRC0252T,Nome não encontrado
Cobre,mg,"0,55","0,25",BRC0252T,Nome não encontrado
Selênio,mcg,"6,43","2,89",BRC0252T,Nome não encontrado
Vitamina A (RE),mcg,"7,65","3,44",BRC0252T,Nome não encontrado
Vitamina A (RAE),mcg,"4,05","1,82",BRC0252T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0252T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,53","1,14",BRC0252T,Nome não encontrado
Tiamina,mg,"0,24","0,11",BRC0252T,Nome não encontrado
Riboflavina,mg,"0,06","0,03",BRC0252T,Nome não encontrado
Niacina,mg,"0,70","0,32",BRC0252T,Nome não encontrado
Vitamina B6,mg,"0,43","0,19",BRC0252T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0252T,Nome não encontrado
Vitamina C,mg,"0,68","0,30",BRC0252T,Nome não encontrado
Equivalente de folato,mcg,110,"49,9",BRC0252T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0252T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0252T,Nome não encontrado
Gordura de adição,g,-,-,BRC0252T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0252T,Nome não encontrado
Proteína animal,g,-,-,BRC0252T,Nome não encontrado
