componente,unidade,Valor por 100g,Escumadeira rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,684,410,BRC1027B,Nome não encontrado
Energia,kcal,162,97,BRC1027B,Nome não encontrado
Umidade,g,"61,8","37,1",BRC1027B,Nome não encontrado
Carboidrato total,g,"27,3","16,4",BRC1027B,Nome não encontrado
Carboidrato disponível,g,"25,5","15,3",BRC1027B,Nome não encontrado
Proteína,g,"6,40","3,84",BRC1027B,Nome não encontrado
Lipídios,g,"3,45","2,07",BRC1027B,Nome não encontrado
Fibra alimentar,g,"1,83","1,10",BRC1027B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC1027B,Nome não encontrado
Cinzas,g,"0,86","0,52",BRC1027B,Nome não encontrado
Colesterol,mg,"5,42","3,25",BRC1027B,Nome não encontrado
Ácidos graxos saturados,g,"0,90","0,54",BRC1027B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,92","0,55",BRC1027B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,48","0,89",BRC1027B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01",BRC1027B,Nome não encontrado
Cálcio,mg,"11,0","6,63",BRC1027B,Nome não encontrado
Ferro,mg,"1,42","0,85",BRC1027B,Nome não encontrado
Sódio,mg,124,"74,8",BRC1027B,Nome não encontrado
Magnésio,mg,"17,5","10,5",BRC1027B,Nome não encontrado
Fósforo,mg,"71,3","42,8",BRC1027B,Nome não encontrado
Potássio,mg,207,124,BRC1027B,Nome não encontrado
Manganês,mg,"0,23","0,14",BRC1027B,Nome não encontrado
Zinco,mg,"0,96","0,57",BRC1027B,Nome não encontrado
Cobre,mg,"0,11","0,07",BRC1027B,Nome não encontrado
Selênio,mcg,"1,40","0,84",BRC1027B,Nome não encontrado
Vitamina A (RE),mcg,"41,8","25,1",BRC1027B,Nome não encontrado
Vitamina A (RAE),mcg,"26,4","15,8",BRC1027B,Nome não encontrado
Vitamina D,mcg,"0,03","0,02",BRC1027B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,40","0,24",BRC1027B,Nome não encontrado
Tiamina,mg,"0,09","0,05",BRC1027B,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC1027B,Nome não encontrado
Niacina,mg,"0,29","0,18",BRC1027B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03",BRC1027B,Nome não encontrado
Vitamina B12,mcg,"0,25","0,15",BRC1027B,Nome não encontrado
Vitamina C,mg,"4,61","2,77",BRC1027B,Nome não encontrado
Equivalente de folato,mcg,"43,6","26,1",BRC1027B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC1027B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC1027B,Nome não encontrado
Gordura de adição,g,-,-,BRC1027B,Nome não encontrado
Proteína vegetal,g,-,-,BRC1027B,Nome não encontrado
Proteína animal,g,-,-,BRC1027B,Nome não encontrado
